x,y,case
0.246,0.174,0.000
0.250,-0.487,0.000
0.255,-0.202,0.000
0.263,-0.426,0.000
0.258,0.017,0.000
0.255,-0.684,0.000
0.253,-0.621,0.000
0.259,0.212,0.000
0.235,-0.424,0.000
0.254,-0.287,0.000
0.263,0.195,0.000
0.251,-0.075,0.000
0.237,-0.006,0.000
0.240,0.293,0.000
0.257,-0.847,0.000
0.262,0.485,0.000
0.242,0.168,0.000
0.242,-0.104,0.000
0.243,-0.234,0.000
0.256,0.478,0.000
0.253,-0.317,0.000
0.238,0.120,0.000
0.273,0.082,0.000
0.248,-0.564,0.000
0.239,0.618,0.000
0.256,0.359,0.000
0.246,0.109,0.000
0.258,-0.254,0.000
0.268,-0.126,0.000
0.244,-0.266,0.000
0.247,0.202,0.000
0.247,-0.043,0.000
0.261,-0.101,0.000
0.262,-0.437,0.000
0.244,0.317,0.000
0.246,0.118,0.000
0.227,-0.413,0.000
0.235,-0.150,0.000
0.260,0.464,0.000
0.239,0.088,0.000
0.261,-0.028,0.000
0.261,-0.374,0.000
0.246,-0.141,0.000
0.237,-0.812,0.000
0.244,0.364,0.000
0.255,-0.625,0.000
0.247,0.206,0.000
0.240,-0.781,0.000
0.244,-0.179,0.000
0.255,-0.493,0.000
0.250,-0.079,0.000
0.252,-0.360,0.000
0.261,-0.289,0.000
0.264,-0.030,0.000
0.236,-0.597,0.000
0.249,-0.158,0.000
0.241,-0.068,0.000
0.243,0.131,0.000
0.244,0.068,0.000
0.247,0.335,0.000
0.263,0.117,0.000
0.262,-0.153,0.000
0.244,0.455,0.000
0.251,-0.403,0.000
0.245,-0.389,0.000
0.269,-0.311,0.000
0.255,0.261,0.000
0.239,-0.181,0.000
0.269,-0.159,0.000
0.244,-0.143,0.000
0.255,-0.335,0.000
0.254,0.400,0.000
0.248,-0.044,0.000
0.245,-0.333,0.000
0.250,0.266,0.000
0.275,0.179,0.000
0.247,-0.498,0.000
0.259,-0.263,0.000
0.243,-0.296,0.000
0.240,0.334,0.000
0.244,-0.890,0.000
0.253,0.695,0.000
0.254,-0.387,0.000
0.247,0.110,0.000
0.246,0.031,0.000
0.257,0.039,0.000
0.236,-0.780,0.000
0.260,-0.467,0.000
0.262,0.209,0.000
0.239,0.045,0.000
0.254,-0.379,0.000
0.251,0.019,0.000
0.265,-0.456,0.000
0.240,-0.193,0.000
0.264,0.184,0.000
0.244,0.029,0.000
0.241,-0.432,0.000
0.233,-0.110,0.000
0.262,-0.092,0.000
0.238,-0.063,0.000
0.241,0.106,0.000
0.258,0.353,0.000
0.264,-0.078,0.000
0.248,-0.215,0.000
0.263,0.635,0.000
0.219,-0.144,0.000
0.247,0.204,0.000
0.238,-0.207,0.000
0.261,0.054,0.000
0.259,0.011,0.000
0.248,0.007,0.000
0.251,-0.127,0.000
0.244,-0.185,0.000
0.246,-0.369,0.000
0.250,-0.461,0.000
0.244,-0.457,0.000
0.254,-0.024,0.000
0.247,-0.313,0.000
0.247,-0.168,0.000
0.245,-0.075,0.000
0.243,0.469,0.000
0.256,0.075,0.000
0.246,-0.769,0.000
0.275,0.358,0.000
0.251,-0.612,0.000
0.228,0.187,0.000
0.251,-0.119,0.000
0.239,0.029,0.000
0.248,0.048,0.000
0.253,0.102,0.000
0.251,-0.314,0.000
0.244,-0.244,0.000
0.247,0.127,0.000
0.237,-0.439,0.000
0.250,-0.492,0.000
0.255,0.220,0.000
0.249,-0.278,0.000
0.233,-0.115,0.000
0.257,-0.226,0.000
0.255,-0.262,0.000
0.250,-0.185,0.000
0.250,0.192,0.000
0.254,0.256,0.000
0.272,-0.395,0.000
0.235,0.010,0.000
0.240,-0.283,0.000
0.246,-0.131,0.000
0.254,-0.362,0.000
0.241,-0.133,0.000
0.231,0.080,0.000
0.252,-0.138,0.000
0.251,-0.321,0.000
0.247,-0.128,0.000
0.263,0.407,0.000
0.253,-0.067,0.000
0.246,-0.038,0.000
0.245,-0.309,0.000
0.245,-0.116,0.000
0.271,-0.279,0.000
0.241,0.046,0.000
0.266,0.500,0.000
0.238,0.461,0.000
0.257,-0.101,0.000
0.244,-0.289,0.000
0.257,-0.096,0.000
0.247,-0.351,0.000
0.241,-0.407,0.000
0.235,-0.278,0.000
0.237,-0.294,0.000
0.247,-0.128,0.000
0.247,-0.179,0.000
0.249,-0.061,0.000
0.274,0.216,0.000
0.249,0.717,0.000
0.251,0.111,0.000
0.251,0.019,0.000
0.227,-0.118,0.000
0.248,-0.280,0.000
0.254,-0.127,0.000
0.262,-0.428,0.000
0.252,-0.296,0.000
0.251,-0.415,0.000
0.255,-0.243,0.000
0.237,-0.365,0.000
0.243,0.286,0.000
0.249,-0.452,0.000
0.239,-0.496,0.000
0.236,0.309,0.000
0.258,-0.006,0.000
0.233,-0.176,0.000
0.241,-0.121,0.000
0.239,-0.195,0.000
0.258,-0.517,0.000
0.259,-0.220,0.000
0.260,0.228,0.000
0.244,-0.448,0.000
0.259,-0.483,0.000
0.250,0.357,0.000
0.251,0.002,0.000
0.233,0.202,0.000
0.243,-0.379,0.000
0.242,-0.003,0.000
0.245,-0.034,0.000
0.233,-0.447,0.000
0.250,-0.148,0.000
0.249,0.173,0.000
0.261,-0.213,0.000
0.244,0.337,0.000
0.247,0.001,0.000
0.228,-0.114,0.000
0.262,-0.357,0.000
0.271,0.096,0.000
0.252,0.330,0.000
0.228,0.193,0.000
0.250,0.242,0.000
0.257,0.027,0.000
0.259,-0.097,0.000
0.261,-0.171,0.000
0.240,-0.241,0.000
0.254,-0.075,0.000
0.258,-0.276,0.000
0.245,0.047,0.000
0.233,-0.060,0.000
0.246,0.212,0.000
0.264,-0.227,0.000
0.233,-0.153,0.000
0.240,-0.025,0.000
0.238,-0.039,0.000
0.249,-0.559,0.000
0.240,-0.750,0.000
0.221,-0.069,0.000
0.262,0.034,0.000
0.249,-0.166,0.000
0.249,-0.332,0.000
0.266,0.013,0.000
0.262,-0.178,0.000
0.255,-0.110,0.000
0.229,0.168,0.000
0.257,0.177,0.000
0.257,-0.066,0.000
0.252,-0.211,0.000
0.241,0.538,0.000
0.235,-0.206,0.000
0.259,0.330,0.000
0.243,-0.447,0.000
0.258,-0.095,0.000
0.267,-0.013,0.000
